window,summary_level,summary_key,method,n_points,mae,rmse,bias,max_abs_error,n_queries,n_not_applicable_queries
FULL_FROZEN_HORIZON_SUPPORT,per_rho,0.995,M0,49,0.5196368571428571,0.5359381313866025,-0.5196368571428571,0.71824,3,2
FULL_FROZEN_HORIZON_SUPPORT,per_rho,0.995,M1,147,0.16459183673469388,0.22405242644505854,0.16459183673469388,0.5349999999999999,3,0
FULL_FROZEN_HORIZON_SUPPORT,per_rho,0.995,M2,147,0.04751448727639204,0.057240618330429836,-0.045725623582766446,0.11611111111111105,3,0
FULL_FROZEN_HORIZON_SUPPORT,per_rho,0.995,M3_B1400,147,0.017483293963589185,0.021005304907445142,0.011659315741698957,0.05005175218380975,3,0
FULL_FROZEN_HORIZON_SUPPORT,per_rho,0.995,M3_B2000,147,0.01594211453242438,0.019481138539950628,0.008768864115278231,0.048126975458521626,3,0
FULL_FROZEN_HORIZON_SUPPORT,per_rho_x_regime,rho=0.95|G0,M0,49,0.6818234081632653,0.6901951953491423,-0.6818234081632653,0.75098,1,0
FULL_FROZEN_HORIZON_SUPPORT,per_rho_x_regime,rho=0.95|G0,M1,49,0.037857142857142895,0.040171824830396795,0.037857142857142895,0.06000000000000005,1,0
FULL_FROZEN_HORIZON_SUPPORT,per_rho_x_regime,rho=0.95|G0,M2,49,0.02638321995464857,0.027794389087077168,0.024841269841269883,0.046666666666666634,1,0
FULL_FROZEN_HORIZON_SUPPORT,per_rho_x_regime,rho=0.95|G0,M3_B1400,49,0.022271663540853345,0.02404782516660427,0.02084246533961574,0.036103044338095636,1,0
FULL_FROZEN_HORIZON_SUPPORT,per_rho_x_regime,rho=0.95|G0,M3_B2000,49,0.020965247767363505,0.022552285206770047,0.01924714836115649,0.0339986802981892,1,0
FULL_FROZEN_HORIZON_SUPPORT,per_rho_x_regime,rho=0.95|G1,M0,49,0.5768234081632653,0.58406738439993,-0.5768234081632653,0.64098,1,0
FULL_FROZEN_HORIZON_SUPPORT,per_rho_x_regime,rho=0.95|G1,M1,49,0.14285714285714285,0.14648605143598528,0.14285714285714285,0.20499999999999996,1,0
FULL_FROZEN_HORIZON_SUPPORT,per_rho_x_regime,rho=0.95|G1,M2,49,0.09690098261526833,0.10126047653150667,0.09615268329554044,0.1549999999999998,1,0
FULL_FROZEN_HORIZON_SUPPORT,per_rho_x_regime,rho=0.95|G1,M3_B1400,49,0.04787879808719312,0.052463703183712546,0.04635470694725419,0.08089593437109777,1,0
FULL_FROZEN_HORIZON_SUPPORT,per_rho_x_regime,rho=0.95|G1,M3_B2000,49,0.04359912162960912,0.04815663619814649,0.04220786657905258,0.07528701931558268,1,0
FULL_FROZEN_HORIZON_SUPPORT,per_rho_x_regime,rho=0.95|G2,M0,0,,,,,1,1
FULL_FROZEN_HORIZON_SUPPORT,per_rho_x_regime,rho=0.95|G2,M1,49,0.32285714285714284,0.3296178987610859,0.32285714285714284,0.39,1,0
FULL_FROZEN_HORIZON_SUPPORT,per_rho_x_regime,rho=0.95|G2,M2,49,0.21436130007558574,0.2240112009891119,0.21436130007558574,0.3025925925925924,1,0
FULL_FROZEN_HORIZON_SUPPORT,per_rho_x_regime,rho=0.95|G2,M3_B1400,49,0.04838190479355946,0.05529916051529471,0.046808162937313165,0.11408756421018984,1,0
FULL_FROZEN_HORIZON_SUPPORT,per_rho_x_regime,rho=0.95|G2,M3_B2000,49,0.047729641474247846,0.05404158210444328,0.046543235196900234,0.11064450461794517,1,0
FULL_FROZEN_HORIZON_SUPPORT,per_rho_x_regime,rho=0.975|G0,M0,49,0.6244205306122449,0.6321801684293064,-0.6244205306122449,0.723384,1,0
FULL_FROZEN_HORIZON_SUPPORT,per_rho_x_regime,rho=0.975|G0,M1,49,0.03448979591836737,0.03681171064778611,0.03448979591836737,0.05500000000000005,1,0
FULL_FROZEN_HORIZON_SUPPORT,per_rho_x_regime,rho=0.975|G0,M2,49,0.023401360544217712,0.024660455592767003,0.017142857142857175,0.050000000000000044,1,0
FULL_FROZEN_HORIZON_SUPPORT,per_rho_x_regime,rho=0.975|G0,M3_B1400,49,0.019065410378494713,0.02108126172196856,0.018056898297870553,0.04139517763893563,1,0
FULL_FROZEN_HORIZON_SUPPORT,per_rho_x_regime,rho=0.975|G0,M3_B2000,49,0.016920218238452907,0.018807715042646708,0.015770116127293315,0.037998307758568495,1,0
FULL_FROZEN_HORIZON_SUPPORT,per_rho_x_regime,rho=0.975|G1,M0,49,0.5192164489795918,0.5263041535937181,-0.5192164489795918,0.643384,1,0
FULL_FROZEN_HORIZON_SUPPORT,per_rho_x_regime,rho=0.975|G1,M1,49,0.13948979591836735,0.14368154980755896,0.13948979591836735,0.17000000000000004,1,0
FULL_FROZEN_HORIZON_SUPPORT,per_rho_x_regime,rho=0.975|G1,M2,49,0.07726757369614516,0.08173210528450599,0.07225623582766443,0.12222222222222245,1,0
FULL_FROZEN_HORIZON_SUPPORT,per_rho_x_regime,rho=0.975|G1,M3_B1400,49,0.03631074269936337,0.04092064628301895,0.03421799847800902,0.08445083281463106,1,0
FULL_FROZEN_HORIZON_SUPPORT,per_rho_x_regime,rho=0.975|G1,M3_B2000,49,0.033266316686204986,0.03827556357500771,0.031598187955024046,0.0831609727398045,1,0
FULL_FROZEN_HORIZON_SUPPORT,per_rho_x_regime,rho=0.975|G2,M0,0,,,,,1,1
FULL_FROZEN_HORIZON_SUPPORT,per_rho_x_regime,rho=0.975|G2,M1,49,0.3233673469387755,0.3342956347734314,0.3233673469387755,0.405,1,0
