rho_global,regime,horizon,scale,A_G_l_max,A_G_c_max,A_G_q_min,sigma_m1,sigma_m2_mean,sigma_m2_min,sigma_m2_max,sigma_m2_std_population,sigma_m2_median,sigma_m2_q25,sigma_m2_q75,m2_argmin_variant_id,m2_argmax_variant_id,sigma_m0_raw_product,m0_status,sigma_m0,m0_induced_l_max,m0_induced_c_max,m0_induced_q_min,sigma_m3_B1400,retained_mass,deterministic_truncation_abs_error_bound,m3_B1400_mc_var_bound,m3_B1400_mc_se_bound,m3_B1400_graph_trajectories,sigma_m3_B2000,m3_B2000_mc_var_bound,m3_B2000_mc_se_bound,m3_B2000_graph_trajectories,sigma_whitebox,error_m0,error_m1,error_m2,error_m3_B1400,error_m3_B2000
0.95,G0,0.0,1.23,0.5589555615010651,2.8362482085564817,0.5,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,M2J_A1_B1_C1,M2J_A1_B1_C1,1.0,PREDICTED,1.0,0.4544354158545245,2.305892852484944,0.5,1.0,0.9991741970173574,0.0008258029826425,0.0001787598699179,0.0133701110660298,1400,1.0,0.0001250433740121,0.0111822794640522,2000,1.0,0.0,0.0,0.0,0.0,0.0
0.95,G0,5.0,1.23,0.5589555615010651,2.8362482085564817,0.5,1.0,0.9766666666666668,0.93,1.0,0.0329983164553721,1.0,0.93,1.0,M2J_A1_B1_C2,M2J_A1_B1_C1,0.51086,PREDICTED,0.51086,0.4544354158545245,2.305892852484944,0.5,0.9885473397304414,0.9991741970173574,0.0008258029826425,0.0001787598699179,0.0133701110660298,1400,0.9864842310167884,0.0001250433740121,0.0111822794640522,2000,0.995,-0.48414,0.0050000000000000044,-0.0183333333333332,-0.006452660269558597,-0.008515768983211602
0.95,G0,10.0,1.23,0.5589555615010651,2.8362482085564817,0.5,1.0,0.9722222222222222,0.93,1.0,0.0265739127624475,0.98,0.94,1.0,M2J_A1_B3_C2,M2J_A1_B1_C3,0.32021,PREDICTED,0.32021,0.4544354158545245,2.305892852484944,0.5,0.969251221744094,0.9991741970173574,0.0008258029826425,0.0001787598699179,0.0133701110660298,1400,0.9684847405478272,0.0001250433740121,0.0111822794640522,2000,0.975,-0.65479,0.025000000000000022,-0.002777777777777768,-0.0057487782559060285,-0.006515259452172795
0.95,G0,15.0,1.23,0.5589555615010651,2.8362482085564817,0.5,1.0,0.9633333333333332,0.92,1.0,0.0329983164553722,0.97,0.92,1.0,M2J_A1_B1_C2,M2J_A1_B1_C3,0.288288,PREDICTED,0.288288,0.4544354158545245,2.305892852484944,0.5,0.9624156335841612,0.9991741970173574,0.0008258029826425,0.0001787598699179,0.0133701110660298,1400,0.9581466983008472,0.0001250433740121,0.0111822794640522,2000,0.98,-0.691712,0.020000000000000018,-0.01666666666666683,-0.017584366415838826,-0.021853301699152783
0.95,G0,20.0,1.23,0.5589555615010651,2.8362482085564817,0.5,1.0,0.97,0.95,1.0,0.0216024689946928,0.96,0.95,1.0,M2J_A1_B1_C2,M2J_A1_B1_C3,0.2436009999999999,PREDICTED,0.2436009999999999,0.4544354158545245,2.305892852484944,0.5,0.9531080366172544,0.9991741970173574,0.0008258029826425,0.0001787598699179,0.0133701110660298,1400,0.953647541657413,0.0001250433740121,0.0111822794640522,2000,0.955,-0.7113990000000001,0.04500000000000004,0.015000000000000013,-0.001891963382745554,-0.0013524583425870151
0.95,G0,25.0,1.23,0.5589555615010651,2.8362482085564817,0.5,1.0,0.9733333333333332,0.95,1.0,0.0205480466765632,0.97,0.95,1.0,M2J_A1_B1_C1,M2J_A1_B1_C3,0.3467309999999999,PREDICTED,0.3467309999999999,0.4544354158545245,2.305892852484944,0.5,0.9616624123937276,0.9991741970173574,0.0008258029826425,0.0001787598699179,0.0133701110660298,1400,0.9611433530250524,0.0001250433740121,0.0111822794640522,2000,0.965,-0.6182690000000001,0.03500000000000003,0.008333333333333193,-0.003337587606272341,-0.0038566469749475862
0.95,G0,30.0,1.23,0.5589555615010651,2.8362482085564817,0.5,1.0,0.98,0.96,1.0,0.0163299316185545,0.98,0.96,1.0,M2J_A1_B1_C1,M2J_A1_B1_C3,0.3003,PREDICTED,0.3003,0.4544354158545245,2.305892852484944,0.5,0.960985096900962,0.9991741970173574,0.0008258029826425,0.0001787598699179,0.0133701110660298,1400,0.960156510965893,0.0001250433740121,0.0111822794640522,2000,0.945,-0.6446999999999999,0.05500000000000005,0.03500000000000003,0.01598509690096206,0.0151565109658931
0.95,G0,35.0,1.23,0.5589555615010651,2.8362482085564817,0.5,1.0,0.9833333333333334,0.97,1.0,0.0124721912892464,0.98,0.97,1.0,M2J_A1_B1_C1,M2J_A1_B1_C3,0.286306,PREDICTED,0.286306,0.4544354158545245,2.305892852484944,0.5,0.959561506297591,0.9991741970173574,0.0008258029826425,0.0001787598699179,0.0133701110660298,1400,0.9581542304554512,0.0001250433740121,0.0111822794640522,2000,0.94,-0.653694,0.06000000000000005,0.043333333333333446,0.019561506297591014,0.01815423045545128
0.95,G0,40.0,1.23,0.5589555615010651,2.8362482085564817,0.5,1.0,0.99,0.98,1.0,0.0081649658092772,0.99,0.98,1.0,M2J_A1_B1_C1,M2J_A1_B1_C3,0.256887,PREDICTED,0.256887,0.4544354158545245,2.305892852484944,0.5,0.9595247228417392,0.9991741970173574,0.0008258029826425,0.0001787598699179,0.0133701110660298,1400,0.9571539634211208,0.0001250433740121,0.0111822794640522,2000,0.955,-0.698113,0.04500000000000004,0.03500000000000003,0.004524722841739215,0.0021539634211208414
0.95,G0,45.0,1.23,0.5589555615010651,2.8362482085564817,0.5,1.0,0.99,0.98,1.0,0.0081649658092772,0.99,0.98,1.0,M2J_A1_B1_C1,M2J_A1_B1_C3,0.2989079999999999,PREDICTED,0.2989079999999999,0.4544354158545245,2.305892852484944,0.5,0.9602405777957362,0.9991741970173574,0.0008258029826425,0.0001787598699179,0.0133701110660298,1400,0.9606551993579188,0.0001250433740121,0.0111822794640522,2000,0.95,-0.651092,0.050000000000000044,0.040000000000000036,0.010240577795736283,0.01065519935791881
