quantity,mean,median,p2_5,p97_5,p_less_than_zero,bootstrap_role
mae_top1_1400,0.02949085740025742,0.02929665379665381,0.023562323037323057,0.03674597812097813,0.0,graph-MC diagnostic; WB fixed
mae_uniform14_eq1400,0.058094712483912486,0.05703474903474905,0.03672191119691121,0.08489330759330756,0.0,graph-MC diagnostic; WB fixed
mae_weighted14_eq1400,0.048080604480064834,0.04618356029069992,0.030218027862854983,0.0755103573005756,0.0,graph-MC diagnostic; WB fixed
delta_weighted_minus_uniform,-0.010014108003847657,-0.010387643805591613,-0.013761962249239734,-0.0034788744248665663,0.992,paired shared-seed bootstrap
delta_weighted_minus_top1,0.018589747079807418,0.016819040341944466,-0.0011674381508910863,0.047073746307171725,0.0364,graph-MC diagnostic; WB fixed
