replicate,mae_top1_1400,mae_uniform14_eq1400,mae_weighted14_eq1400,delta_weighted_minus_uniform,delta_weighted_minus_top1
0,0.028927927927927945,0.048066924066924074,0.044213260421347475,-0.0038536636455765994,0.01528533249341953
1,0.024652509652509667,0.05606563706563708,0.04470246469189878,-0.011363172373738302,0.02004995503938911
2,0.03281981981981984,0.049850707850707894,0.03752561074979969,-0.012325097100908206,0.004705790929979851
3,0.037193050193050206,0.058344916344916356,0.04859666518207249,-0.009748251162843863,0.011403614989022287
4,0.02774259974259976,0.06822908622908624,0.05713096895126555,-0.011098117277820695,0.02938836920866579
5,0.027589446589446606,0.04337709137709143,0.034022624717425766,-0.009354466659665661,0.00643317812797916
6,0.031667953667953684,0.06477220077220078,0.053977096513874494,-0.010795104258326284,0.02230914284592081
7,0.03166280566280568,0.03656113256113255,0.030028770454766367,-0.006532362106366187,-0.001634035208039314
8,0.04031660231660233,0.05960231660231658,0.04729549953874445,-0.012306817063572131,0.006978897222142122
9,0.03384041184041186,0.04492406692406693,0.03965454198844716,-0.005269524935619774,0.0058141301480353
10,0.031221364221364237,0.04557786357786361,0.03505149714142447,-0.010526366436439137,0.003830132920060233
11,0.02806821106821109,0.045024453024453036,0.03574281928664448,-0.009281633737808555,0.007674608218433392
12,0.0298803088803089,0.04398455598455596,0.035689687594122235,-0.008294868390433724,0.005809378713813335
13,0.029185328185328204,0.0656550836550837,0.053639442092088194,-0.012015641562995505,0.02445411390675999
14,0.025328185328185347,0.05971557271557273,0.046744904742336,-0.012970667973236726,0.021416719414150655
15,0.033815958815958835,0.0478803088803089,0.03950819201710054,-0.008372116863208358,0.005692233201141705
16,0.030935649935649946,0.04981595881595879,0.038510624160430815,-0.011305334655527972,0.007574974224780869
17,0.024667953667953685,0.04826126126126128,0.037670828472670066,-0.010590432788591217,0.013002874804716381
18,0.030599742599742612,0.07397812097812104,0.060722677214001285,-0.013255443764119752,0.030122934614258672
19,0.029589446589446605,0.07570141570141577,0.06497118123157006,-0.01073023446984571,0.03538173464212345
20,0.027082368082368097,0.062435006435006456,0.049373253115632794,-0.013061753319373662,0.022290885033264696
21,0.027507078507078522,0.04856499356499355,0.040056208746292905,-0.008508784818700647,0.012549130239214383
22,0.030540540540540558,0.07702059202059205,0.06356907606422102,-0.013451515956371035,0.03302853552368046
