scope,n_points,n_graph_trajectories_rank1,mae,rmse,bias,max_abs_error,diagnostic_role
ALL,555,900,0.025367367367367378,0.03112374618302486,0.021509509509509517,0.10333333333333339,NOT_COST_MATCHED_EXISTING_RANK1_MEMBER
G0,185,900,0.02067267267267269,0.022437396687303934,0.02067267267267269,0.040000000000000036,NOT_COST_MATCHED_EXISTING_RANK1_MEMBER
G1,185,900,0.02632132132132134,0.03216928964913376,0.02230330330330332,0.08000000000000007,NOT_COST_MATCHED_EXISTING_RANK1_MEMBER
G2,185,900,0.029108108108108106,0.03698327679861213,0.021552552552552545,0.10333333333333339,NOT_COST_MATCHED_EXISTING_RANK1_MEMBER
