budget,rank,variant_id,rho_global,regime,horizon,sigma_member,n_trajectories,alpha_renormalized,joint_weight_x,scale,A_G_l_max,A_G_c_max,A_G_q_min,joint_public_i1_energy,ProviderA_candidate_id,ProviderB_candidate_id,ProviderC_candidate_id,alpha_renormalized_design,joint_weight_y
2000,1,M3Q_R01,0.95,G0,60.0,0.9577777777777776,900,0.4502727660640246,0.4499009294708063,1.23,0.5589555615010651,2.8362482085564817,0.5,0.4576435924222779,ProviderA_LHS_026,ProviderB_LHS_039,ProviderC_LHS_038,0.4502727660640246,0.4499009294708063
2000,1,M3Q_R01,0.95,G0,65.0,0.9611111111111112,900,0.4502727660640246,0.4499009294708063,1.23,0.5589555615010651,2.8362482085564817,0.5,0.4576435924222779,ProviderA_LHS_026,ProviderB_LHS_039,ProviderC_LHS_038,0.4502727660640246,0.4499009294708063
2000,1,M3Q_R01,0.95,G0,70.0,0.96,900,0.4502727660640246,0.4499009294708063,1.23,0.5589555615010651,2.8362482085564817,0.5,0.4576435924222779,ProviderA_LHS_026,ProviderB_LHS_039,ProviderC_LHS_038,0.4502727660640246,0.4499009294708063
2000,1,M3Q_R01,0.95,G0,75.0,0.9588888888888888,900,0.4502727660640246,0.4499009294708063,1.23,0.5589555615010651,2.8362482085564817,0.5,0.4576435924222779,ProviderA_LHS_026,ProviderB_LHS_039,ProviderC_LHS_038,0.4502727660640246,0.4499009294708063
2000,1,M3Q_R01,0.95,G0,80.0,0.9611111111111112,900,0.4502727660640246,0.4499009294708063,1.23,0.5589555615010651,2.8362482085564817,0.5,0.4576435924222779,ProviderA_LHS_026,ProviderB_LHS_039,ProviderC_LHS_038,0.4502727660640246,0.4499009294708063
2000,1,M3Q_R01,0.95,G0,85.0,0.9688888888888888,900,0.4502727660640246,0.4499009294708063,1.23,0.5589555615010651,2.8362482085564817,0.5,0.4576435924222779,ProviderA_LHS_026,ProviderB_LHS_039,ProviderC_LHS_038,0.4502727660640246,0.4499009294708063
2000,1,M3Q_R01,0.95,G0,90.0,0.9677777777777776,900,0.4502727660640246,0.4499009294708063,1.23,0.5589555615010651,2.8362482085564817,0.5,0.4576435924222779,ProviderA_LHS_026,ProviderB_LHS_039,ProviderC_LHS_038,0.4502727660640246,0.4499009294708063
2000,1,M3Q_R01,0.95,G0,95.0,0.9744444444444444,900,0.4502727660640246,0.4499009294708063,1.23,0.5589555615010651,2.8362482085564817,0.5,0.4576435924222779,ProviderA_LHS_026,ProviderB_LHS_039,ProviderC_LHS_038,0.4502727660640246,0.4499009294708063
2000,1,M3Q_R01,0.95,G0,100.0,0.9777777777777776,900,0.4502727660640246,0.4499009294708063,1.23,0.5589555615010651,2.8362482085564817,0.5,0.4576435924222779,ProviderA_LHS_026,ProviderB_LHS_039,ProviderC_LHS_038,0.4502727660640246,0.4499009294708063
2000,1,M3Q_R01,0.95,G0,105.0,0.9822222222222222,900,0.4502727660640246,0.4499009294708063,1.23,0.5589555615010651,2.8362482085564817,0.5,0.4576435924222779,ProviderA_LHS_026,ProviderB_LHS_039,ProviderC_LHS_038,0.4502727660640246,0.4499009294708063
2000,1,M3Q_R01,0.95,G0,110.0,0.9833333333333332,900,0.4502727660640246,0.4499009294708063,1.23,0.5589555615010651,2.8362482085564817,0.5,0.4576435924222779,ProviderA_LHS_026,ProviderB_LHS_039,ProviderC_LHS_038,0.4502727660640246,0.4499009294708063
2000,1,M3Q_R01,0.95,G0,115.0,0.9844444444444445,900,0.4502727660640246,0.4499009294708063,1.23,0.5589555615010651,2.8362482085564817,0.5,0.4576435924222779,ProviderA_LHS_026,ProviderB_LHS_039,ProviderC_LHS_038,0.4502727660640246,0.4499009294708063
2000,1,M3Q_R01,0.95,G0,120.0,0.9855555555555556,900,0.4502727660640246,0.4499009294708063,1.23,0.5589555615010651,2.8362482085564817,0.5,0.4576435924222779,ProviderA_LHS_026,ProviderB_LHS_039,ProviderC_LHS_038,0.4502727660640246,0.4499009294708063
2000,1,M3Q_R01,0.95,G0,125.0,0.9855555555555556,900,0.4502727660640246,0.4499009294708063,1.23,0.5589555615010651,2.8362482085564817,0.5,0.4576435924222779,ProviderA_LHS_026,ProviderB_LHS_039,ProviderC_LHS_038,0.4502727660640246,0.4499009294708063
2000,1,M3Q_R01,0.95,G0,130.0,0.9866666666666668,900,0.4502727660640246,0.4499009294708063,1.23,0.5589555615010651,2.8362482085564817,0.5,0.4576435924222779,ProviderA_LHS_026,ProviderB_LHS_039,ProviderC_LHS_038,0.4502727660640246,0.4499009294708063
2000,1,M3Q_R01,0.95,G0,135.0,0.9888888888888888,900,0.4502727660640246,0.4499009294708063,1.23,0.5589555615010651,2.8362482085564817,0.5,0.4576435924222779,ProviderA_LHS_026,ProviderB_LHS_039,ProviderC_LHS_038,0.4502727660640246,0.4499009294708063
2000,1,M3Q_R01,0.95,G0,140.0,0.9888888888888888,900,0.4502727660640246,0.4499009294708063,1.23,0.5589555615010651,2.8362482085564817,0.5,0.4576435924222779,ProviderA_LHS_026,ProviderB_LHS_039,ProviderC_LHS_038,0.4502727660640246,0.4499009294708063
2000,1,M3Q_R01,0.95,G0,145.0,0.9877777777777778,900,0.4502727660640246,0.4499009294708063,1.23,0.5589555615010651,2.8362482085564817,0.5,0.4576435924222779,ProviderA_LHS_026,ProviderB_LHS_039,ProviderC_LHS_038,0.4502727660640246,0.4499009294708063
2000,1,M3Q_R01,0.95,G0,150.0,0.9888888888888888,900,0.4502727660640246,0.4499009294708063,1.23,0.5589555615010651,2.8362482085564817,0.5,0.4576435924222779,ProviderA_LHS_026,ProviderB_LHS_039,ProviderC_LHS_038,0.4502727660640246,0.4499009294708063
2000,1,M3Q_R01,0.95,G0,155.0,0.9877777777777778,900,0.4502727660640246,0.4499009294708063,1.23,0.5589555615010651,2.8362482085564817,0.5,0.4576435924222779,ProviderA_LHS_026,ProviderB_LHS_039,ProviderC_LHS_038,0.4502727660640246,0.4499009294708063
2000,1,M3Q_R01,0.95,G0,160.0,0.9866666666666668,900,0.4502727660640246,0.4499009294708063,1.23,0.5589555615010651,2.8362482085564817,0.5,0.4576435924222779,ProviderA_LHS_026,ProviderB_LHS_039,ProviderC_LHS_038,0.4502727660640246,0.4499009294708063
2000,1,M3Q_R01,0.95,G0,165.0,0.9911111111111112,900,0.4502727660640246,0.4499009294708063,1.23,0.5589555615010651,2.8362482085564817,0.5,0.4576435924222779,ProviderA_LHS_026,ProviderB_LHS_039,ProviderC_LHS_038,0.4502727660640246,0.4499009294708063
2000,1,M3Q_R01,0.95,G0,170.0,0.99,900,0.4502727660640246,0.4499009294708063,1.23,0.5589555615010651,2.8362482085564817,0.5,0.4576435924222779,ProviderA_LHS_026,ProviderB_LHS_039,ProviderC_LHS_038,0.4502727660640246,0.4499009294708063
2000,1,M3Q_R01,0.95,G0,175.0,0.99,900,0.4502727660640246,0.4499009294708063,1.23,0.5589555615010651,2.8362482085564817,0.5,0.4576435924222779,ProviderA_LHS_026,ProviderB_LHS_039,ProviderC_LHS_038,0.4502727660640246,0.4499009294708063
2000,1,M3Q_R01,0.95,G0,180.0,0.99,900,0.4502727660640246,0.4499009294708063,1.23,0.5589555615010651,2.8362482085564817,0.5,0.4576435924222779,ProviderA_LHS_026,ProviderB_LHS_039,ProviderC_LHS_038,0.4502727660640246,0.4499009294708063
2000,1,M3Q_R01,0.95,G0,185.0,0.9944444444444444,900,0.4502727660640246,0.4499009294708063,1.23,0.5589555615010651,2.8362482085564817,0.5,0.4576435924222779,ProviderA_LHS_026,ProviderB_LHS_039,ProviderC_LHS_038,0.4502727660640246,0.4499009294708063
2000,1,M3Q_R01,0.95,G0,190.0,0.9944444444444444,900,0.4502727660640246,0.4499009294708063,1.23,0.5589555615010651,2.8362482085564817,0.5,0.4576435924222779,ProviderA_LHS_026,ProviderB_LHS_039,ProviderC_LHS_038,0.4502727660640246,0.4499009294708063
2000,1,M3Q_R01,0.95,G0,195.0,0.9966666666666668,900,0.4502727660640246,0.4499009294708063,1.23,0.5589555615010651,2.8362482085564817,0.5,0.4576435924222779,ProviderA_LHS_026,ProviderB_LHS_039,ProviderC_LHS_038,0.4502727660640246,0.4499009294708063
2000,1,M3Q_R01,0.95,G0,200.0,0.9966666666666668,900,0.4502727660640246,0.4499009294708063,1.23,0.5589555615010651,2.8362482085564817,0.5,0.4576435924222779,ProviderA_LHS_026,ProviderB_LHS_039,ProviderC_LHS_038,0.4502727660640246,0.4499009294708063
2000,1,M3Q_R01,0.95,G0,205.0,0.9977777777777778,900,0.4502727660640246,0.4499009294708063,1.23,0.5589555615010651,2.8362482085564817,0.5,0.4576435924222779,ProviderA_LHS_026,ProviderB_LHS_039,ProviderC_LHS_038,0.4502727660640246,0.4499009294708063
2000,1,M3Q_R01,0.95,G0,210.0,0.9977777777777778,900,0.4502727660640246,0.4499009294708063,1.23,0.5589555615010651,2.8362482085564817,0.5,0.4576435924222779,ProviderA_LHS_026,ProviderB_LHS_039,ProviderC_LHS_038,0.4502727660640246,0.4499009294708063
2000,1,M3Q_R01,0.95,G0,215.0,0.9977777777777778,900,0.4502727660640246,0.4499009294708063,1.23,0.5589555615010651,2.8362482085564817,0.5,0.4576435924222779,ProviderA_LHS_026,ProviderB_LHS_039,ProviderC_LHS_038,0.4502727660640246,0.4499009294708063
2000,1,M3Q_R01,0.95,G0,220.0,0.9977777777777778,900,0.4502727660640246,0.4499009294708063,1.23,0.5589555615010651,2.8362482085564817,0.5,0.4576435924222779,ProviderA_LHS_026,ProviderB_LHS_039,ProviderC_LHS_038,0.4502727660640246,0.4499009294708063
2000,1,M3Q_R01,0.95,G0,225.0,0.9966666666666668,900,0.4502727660640246,0.4499009294708063,1.23,0.5589555615010651,2.8362482085564817,0.5,0.4576435924222779,ProviderA_LHS_026,ProviderB_LHS_039,ProviderC_LHS_038,0.4502727660640246,0.4499009294708063
2000,1,M3Q_R01,0.95,G0,230.0,0.9977777777777778,900,0.4502727660640246,0.4499009294708063,1.23,0.5589555615010651,2.8362482085564817,0.5,0.4576435924222779,ProviderA_LHS_026,ProviderB_LHS_039,ProviderC_LHS_038,0.4502727660640246,0.4499009294708063
