rho_global,regime,regime_label,ambiguity_variance_raw_mean,ambiguity_variance_raw_max,ambiguity_variance_corrected_mean,ambiguity_variance_corrected_max,ambiguity_std_raw_mean,ambiguity_std_corrected_mean,mc_noise_plugin_mean,mc_noise_worstcase_expected_mean,ambiguity_range_mean,ambiguity_range_max,m1_mae,m2_mae,m3_B2000_mae,m1_minus_m3_B2000_mae,m2_minus_m3_B2000_mae
0.95,G0,R_easy,0.00010752196088188411,0.000516876979449812,7.79826834237784e-05,0.0003525876061896494,0.006919873925256308,0.004511202579115823,3.1999350776070316e-05,0.0014673756194154889,0.26765364435128786,1.0,0.03810810810810814,0.027117117117117166,0.02466238078572004,0.013445727322388103,0.0024547363313971275
0.95,G1,R_mid,0.0006669591716365832,0.0010409673878560986,0.00039554944201630906,0.0007644287051796674,0.025711163146473794,0.019487601696517344,0.0002724999671362775,0.0014673756194154889,1.0,1.0,0.14405405405405405,0.10286286286286286,0.04925249640886533,0.09480155764518872,0.053610366453997534
0.95,G2,R_stress,0.002129617637597904,0.0029652534383435097,0.0015069046481163524,0.0024561814918239665,0.04574529751486033,0.03782540650840297,0.0006227129894815518,0.0014673756194154889,1.0,1.0,0.34770270270270265,0.24337837837837836,0.055612023166227584,0.29209067953647505,0.1877663552121508
0.975,G0,R_easy,7.514324850393861e-05,0.00037163002653872295,5.4167824176491416e-05,0.00033305714226256424,0.006547881227641843,0.0038958015272129924,2.4905510545583274e-05,0.0014673756194154889,0.1798297032925471,1.0,0.0375675675675676,0.024594594594594628,0.020149722753277498,0.017417844814290102,0.00444487184131713
0.975,G1,R_mid,0.0006626820529195972,0.0010018241082835997,0.00034619764245099623,0.0006317621914902985,0.025620922378454414,0.018363956941355234,0.0003164844104686009,0.0014673756194154889,1.0,1.0,0.15081081081081082,0.08930930930930937,0.03902018166612745,0.11179062914468338,0.05028912764318192
0.975,G2,R_stress,0.001326226713488378,0.0017109089604514516,0.0005562176354592716,0.0010700699593483658,0.0363098820597292,0.022787544158223295,0.0007700090780291064,0.0014673756194154889,1.0,1.0,0.3575675675675676,0.1712312312312312,0.035356874374243466,0.3222106931933241,0.13587435685698773
0.9833333333333332,G0,R_easy,0.00013301151542792302,0.0003743530981089823,0.00010596347504140015,0.0003336883149182722,0.009503418406482266,0.00677917079102662,3.068940916443584e-05,0.0014673756194154889,0.36757352794053966,1.0,0.04162162162162166,0.021201201201201215,0.020093960335301746,0.021527661286319916,0.001107240865899469
0.9833333333333332,G1,R_mid,0.000659936047625869,0.0009139817193755496,0.0003097302968692767,0.000518664456870471,0.025618835829466356,0.016945164931762464,0.00035089208495886986,0.0014673756194154889,1.0,1.0,0.15581081081081083,0.05468968968968969,0.027226488703836663,0.12858432210697418,0.027463200985853024
0.9833333333333332,G2,R_stress,0.001339776180276747,0.0017777649716542979,0.0005524687444513213,0.0010084783730742466,0.03647707968176364,0.022516478151622103,0.0007892321504804527,0.0014673756194154889,1.0,1.0,0.3579729729729729,0.0922172172172172,0.025231331927402584,0.33274164104557036,0.06698588528981463
0.99,G0,R_easy,0.0001849236890006381,0.0003668503852366473,0.0001452615746663813,0.0003290810182082293,0.012189547863696925,0.00887224428127963,4.455863673043853e-05,0.0014673756194154889,0.5370531822144725,1.0,0.043378378378378414,0.016501501501501495,0.018963370491621005,0.02441500788675741,-0.0024618689901195097
0.99,G1,R_mid,0.0006409961395379801,0.000871471652870108,0.00029423313910945646,0.0005615472355052164,0.025224392102657364,0.01643050691375922,0.00034723750801823726,0.0014673756194154889,1.0,1.0,0.142972972972973,0.02247247247247249,0.023789986041054898,0.11918298693191812,-0.0013175135685824096
0.99,G2,R_stress,0.0012643264536200242,0.0018317577309753094,0.0004175820069193719,0.0011054080348787392,0.03533952887367729,0.018688787140340234,0.0008535201372092847,0.0014673756194154889,1.0,1.0,0.36,0.02112112112112113,0.019019959076700628,0.34098004092329937,0.002101162044420502
0.995,G0,R_easy,0.00030294499639994555,0.0003629240843233667,0.0002606605609761731,0.0003004040471234219,0.017172645272117922,0.01571947293423531,4.2342044278425594e-05,0.0014673756194154889,0.9476896251089799,1.0,0.04418918918918923,0.02878378378378377,0.0207835097401824,0.02340567944900683,0.00800027404360137
0.995,G1,R_mid,0.0006570802062463927,0.0009544089577585058,0.0002593369582189557,0.0005704777013343437,0.025483267635760788,0.015236825048335973,0.00039774324802743696,0.0014673756194154889,1.0,1.0,0.1589189189189189,0.0834034034034034,0.018634093235719143,0.14028482568319978,0.06476931016768425
0.995,G2,R_stress,0.00112633034199811,0.001564652204172151,0.0002778740322866923,0.0007137300115236103,0.0332274844559385,0.013503231912026584,0.0009144746738082098,0.0014673756194154889,1.0,1.0,0.3968918918918919,0.02341841841841842,0.015413610680109947,0.38147828121178196,0.008004807738308474
