rho_global,regime,horizon,sigma_whitebox,sigma_m3_top1_existing,n_trajectories,variant_id,error_top1_existing,abs_error_top1_existing,diagnostic_role
0.95,G1,65.0,0.825,0.8711111111111111,900,M3Q_R01,0.0461111111111111,0.0461111111111111,NOT_COST_MATCHED_EXISTING_RANK1_MEMBER
0.95,G1,70.0,0.83,0.87,900,M3Q_R01,0.040000000000000036,0.040000000000000036,NOT_COST_MATCHED_EXISTING_RANK1_MEMBER
0.95,G1,75.0,0.83,0.87,900,M3Q_R01,0.040000000000000036,0.040000000000000036,NOT_COST_MATCHED_EXISTING_RANK1_MEMBER
0.95,G1,80.0,0.83,0.8655555555555555,900,M3Q_R01,0.03555555555555556,0.03555555555555556,NOT_COST_MATCHED_EXISTING_RANK1_MEMBER
0.95,G1,85.0,0.845,0.8777777777777778,900,M3Q_R01,0.032777777777777795,0.032777777777777795,NOT_COST_MATCHED_EXISTING_RANK1_MEMBER
0.95,G1,90.0,0.855,0.8755555555555555,900,M3Q_R01,0.02055555555555555,0.02055555555555555,NOT_COST_MATCHED_EXISTING_RANK1_MEMBER
0.95,G1,95.0,0.84,0.8722222222222222,900,M3Q_R01,0.03222222222222226,0.03222222222222226,NOT_COST_MATCHED_EXISTING_RANK1_MEMBER
0.95,G1,100.0,0.845,0.8666666666666667,900,M3Q_R01,0.021666666666666723,0.021666666666666723,NOT_COST_MATCHED_EXISTING_RANK1_MEMBER
0.95,G1,105.0,0.865,0.8777777777777778,900,M3Q_R01,0.012777777777777777,0.012777777777777777,NOT_COST_MATCHED_EXISTING_RANK1_MEMBER
0.95,G1,110.0,0.86,0.8788888888888889,900,M3Q_R01,0.018888888888888955,0.018888888888888955,NOT_COST_MATCHED_EXISTING_RANK1_MEMBER
0.95,G1,115.0,0.87,0.88,900,M3Q_R01,0.010000000000000009,0.010000000000000009,NOT_COST_MATCHED_EXISTING_RANK1_MEMBER
0.95,G1,120.0,0.87,0.89,900,M3Q_R01,0.020000000000000018,0.020000000000000018,NOT_COST_MATCHED_EXISTING_RANK1_MEMBER
0.95,G1,125.0,0.865,0.8966666666666666,900,M3Q_R01,0.03166666666666662,0.03166666666666662,NOT_COST_MATCHED_EXISTING_RANK1_MEMBER
0.95,G1,130.0,0.86,0.8922222222222222,900,M3Q_R01,0.03222222222222226,0.03222222222222226,NOT_COST_MATCHED_EXISTING_RANK1_MEMBER
0.95,G1,135.0,0.86,0.8955555555555555,900,M3Q_R01,0.03555555555555556,0.03555555555555556,NOT_COST_MATCHED_EXISTING_RANK1_MEMBER
0.95,G1,140.0,0.865,0.8922222222222222,900,M3Q_R01,0.02722222222222226,0.02722222222222226,NOT_COST_MATCHED_EXISTING_RANK1_MEMBER
0.95,G1,145.0,0.855,0.9055555555555556,900,M3Q_R01,0.050555555555555576,0.050555555555555576,NOT_COST_MATCHED_EXISTING_RANK1_MEMBER
0.95,G1,150.0,0.855,0.9,900,M3Q_R01,0.04500000000000004,0.04500000000000004,NOT_COST_MATCHED_EXISTING_RANK1_MEMBER
0.95,G1,155.0,0.855,0.9,900,M3Q_R01,0.04500000000000004,0.04500000000000004,NOT_COST_MATCHED_EXISTING_RANK1_MEMBER
0.95,G1,160.0,0.855,0.9055555555555556,900,M3Q_R01,0.050555555555555576,0.050555555555555576,NOT_COST_MATCHED_EXISTING_RANK1_MEMBER
0.95,G1,165.0,0.855,0.9144444444444444,900,M3Q_R01,0.05944444444444441,0.05944444444444441,NOT_COST_MATCHED_EXISTING_RANK1_MEMBER
0.95,G1,170.0,0.86,0.9088888888888887,900,M3Q_R01,0.04888888888888876,0.04888888888888876,NOT_COST_MATCHED_EXISTING_RANK1_MEMBER
0.95,G1,175.0,0.855,0.91,900,M3Q_R01,0.05500000000000005,0.05500000000000005,NOT_COST_MATCHED_EXISTING_RANK1_MEMBER
0.95,G1,180.0,0.86,0.9144444444444444,900,M3Q_R01,0.054444444444444406,0.054444444444444406,NOT_COST_MATCHED_EXISTING_RANK1_MEMBER
0.95,G1,185.0,0.87,0.9222222222222224,900,M3Q_R01,0.05222222222222239,0.05222222222222239,NOT_COST_MATCHED_EXISTING_RANK1_MEMBER
0.95,G1,190.0,0.86,0.92,900,M3Q_R01,0.06000000000000005,0.06000000000000005,NOT_COST_MATCHED_EXISTING_RANK1_MEMBER
0.95,G1,195.0,0.865,0.92,900,M3Q_R01,0.05500000000000005,0.05500000000000005,NOT_COST_MATCHED_EXISTING_RANK1_MEMBER
0.95,G1,200.0,0.855,0.9222222222222224,900,M3Q_R01,0.0672222222222224,0.0672222222222224,NOT_COST_MATCHED_EXISTING_RANK1_MEMBER
0.95,G1,205.0,0.875,0.9288888888888888,900,M3Q_R01,0.053888888888888764,0.053888888888888764,NOT_COST_MATCHED_EXISTING_RANK1_MEMBER
0.95,G1,210.0,0.86,0.9288888888888888,900,M3Q_R01,0.06888888888888878,0.06888888888888878,NOT_COST_MATCHED_EXISTING_RANK1_MEMBER
0.95,G1,215.0,0.87,0.9355555555555556,900,M3Q_R01,0.06555555555555559,0.06555555555555559,NOT_COST_MATCHED_EXISTING_RANK1_MEMBER
0.95,G1,220.0,0.87,0.9344444444444444,900,M3Q_R01,0.06444444444444442,0.06444444444444442,NOT_COST_MATCHED_EXISTING_RANK1_MEMBER
0.95,G1,225.0,0.875,0.9366666666666666,900,M3Q_R01,0.06166666666666665,0.06166666666666665,NOT_COST_MATCHED_EXISTING_RANK1_MEMBER
0.95,G1,230.0,0.87,0.9333333333333332,900,M3Q_R01,0.06333333333333324,0.06333333333333324,NOT_COST_MATCHED_EXISTING_RANK1_MEMBER
0.95,G1,235.0,0.86,0.9333333333333332,900,M3Q_R01,0.07333333333333325,0.07333333333333325,NOT_COST_MATCHED_EXISTING_RANK1_MEMBER
0.95,G1,240.0,0.865,0.9377777777777778,900,M3Q_R01,0.07277777777777783,0.07277777777777783,NOT_COST_MATCHED_EXISTING_RANK1_MEMBER
0.95,G2,60.0,0.65,0.7055555555555556,900,M3Q_R01,0.05555555555555558,0.05555555555555558,NOT_COST_MATCHED_EXISTING_RANK1_MEMBER
0.95,G2,65.0,0.645,0.7311111111111112,900,M3Q_R01,0.08611111111111114,0.08611111111111114,NOT_COST_MATCHED_EXISTING_RANK1_MEMBER
0.95,G2,70.0,0.635,0.7244444444444444,900,M3Q_R01,0.08944444444444444,0.08944444444444444,NOT_COST_MATCHED_EXISTING_RANK1_MEMBER
0.95,G2,75.0,0.645,0.7233333333333334,900,M3Q_R01,0.07833333333333337,0.07833333333333337,NOT_COST_MATCHED_EXISTING_RANK1_MEMBER
0.95,G2,80.0,0.625,0.71,900,M3Q_R01,0.08499999999999996,0.08499999999999996,NOT_COST_MATCHED_EXISTING_RANK1_MEMBER
0.95,G2,85.0,0.66,0.73,900,M3Q_R01,0.06999999999999995,0.06999999999999995,NOT_COST_MATCHED_EXISTING_RANK1_MEMBER
0.95,G2,90.0,0.64,0.7077777777777777,900,M3Q_R01,0.06777777777777771,0.06777777777777771,NOT_COST_MATCHED_EXISTING_RANK1_MEMBER
0.95,G2,95.0,0.645,0.7077777777777777,900,M3Q_R01,0.06277777777777771,0.06277777777777771,NOT_COST_MATCHED_EXISTING_RANK1_MEMBER
0.95,G2,100.0,0.66,0.6977777777777778,900,M3Q_R01,0.0377777777777778,0.0377777777777778,NOT_COST_MATCHED_EXISTING_RANK1_MEMBER
0.95,G2,105.0,0.685,0.7066666666666667,900,M3Q_R01,0.021666666666666612,0.021666666666666612,NOT_COST_MATCHED_EXISTING_RANK1_MEMBER
0.95,G2,110.0,0.695,0.7011111111111111,900,M3Q_R01,0.006111111111111178,0.006111111111111178,NOT_COST_MATCHED_EXISTING_RANK1_MEMBER
0.95,G2,115.0,0.675,0.7011111111111111,900,M3Q_R01,0.026111111111111085,0.026111111111111085,NOT_COST_MATCHED_EXISTING_RANK1_MEMBER
0.95,G2,120.0,0.65,0.6988888888888889,900,M3Q_R01,0.04888888888888887,0.04888888888888887,NOT_COST_MATCHED_EXISTING_RANK1_MEMBER
0.95,G2,125.0,0.66,0.7155555555555555,900,M3Q_R01,0.05555555555555547,0.05555555555555547,NOT_COST_MATCHED_EXISTING_RANK1_MEMBER
0.95,G2,130.0,0.64,0.7077777777777777,900,M3Q_R01,0.06777777777777771,0.06777777777777771,NOT_COST_MATCHED_EXISTING_RANK1_MEMBER
0.95,G2,135.0,0.66,0.7,900,M3Q_R01,0.039999999999999925,0.039999999999999925,NOT_COST_MATCHED_EXISTING_RANK1_MEMBER
0.95,G2,140.0,0.655,0.6944444444444444,900,M3Q_R01,0.03944444444444439,0.03944444444444439,NOT_COST_MATCHED_EXISTING_RANK1_MEMBER
0.95,G2,145.0,0.67,0.6977777777777778,900,M3Q_R01,0.02777777777777779,0.02777777777777779,NOT_COST_MATCHED_EXISTING_RANK1_MEMBER
0.95,G2,150.0,0.67,0.6944444444444444,900,M3Q_R01,0.02444444444444438,0.02444444444444438,NOT_COST_MATCHED_EXISTING_RANK1_MEMBER
0.95,G2,155.0,0.665,0.6933333333333334,900,M3Q_R01,0.02833333333333332,0.02833333333333332,NOT_COST_MATCHED_EXISTING_RANK1_MEMBER
0.95,G2,160.0,0.645,0.6877777777777778,900,M3Q_R01,0.0427777777777778,0.0427777777777778,NOT_COST_MATCHED_EXISTING_RANK1_MEMBER
0.95,G2,165.0,0.66,0.6977777777777778,900,M3Q_R01,0.0377777777777778,0.0377777777777778,NOT_COST_MATCHED_EXISTING_RANK1_MEMBER
0.95,G2,170.0,0.665,0.6888888888888889,900,M3Q_R01,0.02388888888888885,0.02388888888888885,NOT_COST_MATCHED_EXISTING_RANK1_MEMBER
0.95,G2,175.0,0.67,0.7033333333333334,900,M3Q_R01,0.033333333333333326,0.033333333333333326,NOT_COST_MATCHED_EXISTING_RANK1_MEMBER
0.95,G2,180.0,0.65,0.7011111111111111,900,M3Q_R01,0.05111111111111111,0.05111111111111111,NOT_COST_MATCHED_EXISTING_RANK1_MEMBER
0.95,G2,185.0,0.675,0.7166666666666667,900,M3Q_R01,0.04166666666666663,0.04166666666666663,NOT_COST_MATCHED_EXISTING_RANK1_MEMBER
0.95,G2,190.0,0.665,0.7111111111111111,900,M3Q_R01,0.0461111111111111,0.0461111111111111,NOT_COST_MATCHED_EXISTING_RANK1_MEMBER
0.95,G2,195.0,0.65,0.7044444444444444,900,M3Q_R01,0.054444444444444406,0.054444444444444406,NOT_COST_MATCHED_EXISTING_RANK1_MEMBER
0.95,G2,200.0,0.64,0.7055555555555556,900,M3Q_R01,0.06555555555555559,0.06555555555555559,NOT_COST_MATCHED_EXISTING_RANK1_MEMBER
0.95,G2,205.0,0.65,0.7211111111111111,900,M3Q_R01,0.07111111111111112,0.07111111111111112,NOT_COST_MATCHED_EXISTING_RANK1_MEMBER
0.95,G2,210.0,0.655,0.72,900,M3Q_R01,0.06499999999999995,0.06499999999999995,NOT_COST_MATCHED_EXISTING_RANK1_MEMBER
0.95,G2,215.0,0.665,0.71,900,M3Q_R01,0.04499999999999993,0.04499999999999993,NOT_COST_MATCHED_EXISTING_RANK1_MEMBER
0.95,G2,220.0,0.645,0.7122222222222222,900,M3Q_R01,0.06722222222222218,0.06722222222222218,NOT_COST_MATCHED_EXISTING_RANK1_MEMBER
0.95,G2,225.0,0.62,0.7233333333333334,900,M3Q_R01,0.10333333333333339,0.10333333333333339,NOT_COST_MATCHED_EXISTING_RANK1_MEMBER
0.95,G2,230.0,0.625,0.7133333333333334,900,M3Q_R01,0.08833333333333337,0.08833333333333337,NOT_COST_MATCHED_EXISTING_RANK1_MEMBER
0.95,G2,235.0,0.61,0.7133333333333334,900,M3Q_R01,0.10333333333333339,0.10333333333333339,NOT_COST_MATCHED_EXISTING_RANK1_MEMBER
0.95,G2,240.0,0.615,0.7055555555555556,900,M3Q_R01,0.09055555555555561,0.09055555555555561,NOT_COST_MATCHED_EXISTING_RANK1_MEMBER
0.975,G0,60.0,0.955,0.9622222222222222,900,M3Q_R01,0.007222222222222241,0.007222222222222241,NOT_COST_MATCHED_EXISTING_RANK1_MEMBER
0.975,G0,65.0,0.955,0.9611111111111112,900,M3Q_R01,0.006111111111111289,0.006111111111111289,NOT_COST_MATCHED_EXISTING_RANK1_MEMBER
0.975,G0,70.0,0.95,0.96,900,M3Q_R01,0.010000000000000009,0.010000000000000009,NOT_COST_MATCHED_EXISTING_RANK1_MEMBER
0.975,G0,75.0,0.95,0.9622222222222222,900,M3Q_R01,0.012222222222222245,0.012222222222222245,NOT_COST_MATCHED_EXISTING_RANK1_MEMBER
0.975,G0,80.0,0.95,0.96,900,M3Q_R01,0.010000000000000009,0.010000000000000009,NOT_COST_MATCHED_EXISTING_RANK1_MEMBER
0.975,G0,85.0,0.955,0.9666666666666668,900,M3Q_R01,0.011666666666666825,0.011666666666666825,NOT_COST_MATCHED_EXISTING_RANK1_MEMBER
0.975,G0,90.0,0.955,0.9655555555555556,900,M3Q_R01,0.010555555555555651,0.010555555555555651,NOT_COST_MATCHED_EXISTING_RANK1_MEMBER
0.975,G0,95.0,0.955,0.9644444444444444,900,M3Q_R01,0.009444444444444478,0.009444444444444478,NOT_COST_MATCHED_EXISTING_RANK1_MEMBER
0.975,G0,100.0,0.955,0.97,900,M3Q_R01,0.015000000000000013,0.015000000000000013,NOT_COST_MATCHED_EXISTING_RANK1_MEMBER
0.975,G0,105.0,0.96,0.9777777777777776,900,M3Q_R01,0.01777777777777767,0.01777777777777767,NOT_COST_MATCHED_EXISTING_RANK1_MEMBER
0.975,G0,110.0,0.96,0.9777777777777776,900,M3Q_R01,0.01777777777777767,0.01777777777777767,NOT_COST_MATCHED_EXISTING_RANK1_MEMBER
0.975,G0,115.0,0.965,0.9811111111111112,900,M3Q_R01,0.016111111111111187,0.016111111111111187,NOT_COST_MATCHED_EXISTING_RANK1_MEMBER
0.975,G0,120.0,0.965,0.9788888888888888,900,M3Q_R01,0.01388888888888884,0.01388888888888884,NOT_COST_MATCHED_EXISTING_RANK1_MEMBER
0.975,G0,125.0,0.96,0.9811111111111112,900,M3Q_R01,0.02111111111111119,0.02111111111111119,NOT_COST_MATCHED_EXISTING_RANK1_MEMBER
0.975,G0,130.0,0.95,0.9833333333333332,900,M3Q_R01,0.033333333333333215,0.033333333333333215,NOT_COST_MATCHED_EXISTING_RANK1_MEMBER
0.975,G0,135.0,0.95,0.9833333333333332,900,M3Q_R01,0.033333333333333215,0.033333333333333215,NOT_COST_MATCHED_EXISTING_RANK1_MEMBER
