provider,m1_mean_service_time,m1_cost_rate,m1_service_cv,top1_candidate_id,top1_weight_v3,top1_mean_service_time,top1_cost_rate,top1_service_cv,top1_over_m1_mu_ratio,top1_over_m1_kappa_ratio,top1_over_m1_cv_ratio
ProviderA,0.03515902181174001,0.5010610641116193,1.4559952139534043,ProviderA_LHS_026,0.4704245836647404,0.0220819961299576,4.935772341040328,1.5142213613317204,0.6280605941825197,9.850640360155396,1.03999061729071
ProviderB,0.04788017702777221,2.1024570659802144,1.2555234974919558,ProviderB_LHS_039,0.9897160457537806,0.0551563905574552,2.6980214380473657,1.112100381831037,1.1519671392497677,1.283270646380351,0.8857662831899029
ProviderC,0.0026819926073551946,87.30698671847529,0.9941982270091521,ProviderC_LHS_038,0.9663095459573052,0.1739671647156333,0.5516382053076887,0.3411036053082857,64.86489345218156,0.006318374119203852,0.3430941597375688
