provider,arm,provider_id,region_id,horizon,region_rho,rho,sigma_i1,sigma_m1_local,p_i1_jeffreys,p_reconstruction_jeffreys,bernoulli_kl,error
ProviderA,M1_INDEPENDENT_REPLAY,ProviderA,rho_region_0p95,155.0,0.95,0.95,0.47,1.0,0.47029702970297027,0.995049504950495,2.1227575431874413,0.53
ProviderA,M1_INDEPENDENT_REPLAY,ProviderA,rho_region_0p95,160.0,0.95,0.95,0.45,1.0,0.4504950495049505,0.995049504950495,2.230917429729339,0.55
ProviderA,M1_INDEPENDENT_REPLAY,ProviderA,rho_region_0p95,165.0,0.95,0.95,0.52,1.0,0.5198019801980198,0.995049504950495,1.8592365660156684,0.48
ProviderA,M1_INDEPENDENT_REPLAY,ProviderA,rho_region_0p95,170.0,0.95,0.95,0.5,1.0,0.5,0.995049504950495,1.9634680628117214,0.5
ProviderA,M1_INDEPENDENT_REPLAY,ProviderA,rho_region_0p95,175.0,0.95,0.95,0.49,1.0,0.4900990099009901,0.995049504950495,2.0161721042234078,0.51
ProviderA,M1_INDEPENDENT_REPLAY,ProviderA,rho_region_0p95,180.0,0.95,0.95,0.48,1.0,0.4801980198019802,0.995049504950495,2.0692684435625623,0.52
ProviderA,M1_INDEPENDENT_REPLAY,ProviderA,rho_region_0p95,185.0,0.95,0.95,0.53,1.0,0.5297029702970297,0.995049504950495,1.8077097268670999,0.47
ProviderA,M1_INDEPENDENT_REPLAY,ProviderA,rho_region_0p95,190.0,0.95,0.95,0.54,1.0,0.5396039603960396,0.995049504950495,1.756576421028664,0.45999999999999996
ProviderA,M1_INDEPENDENT_REPLAY,ProviderA,rho_region_0p95,195.0,0.95,0.95,0.51,1.0,0.5099009900990099,0.995049504950495,1.9111561654499605,0.49
ProviderA,M1_INDEPENDENT_REPLAY,ProviderA,rho_region_0p95,200.0,0.95,0.95,0.5,1.0,0.5,0.995049504950495,1.9634680628117214,0.5
ProviderA,M1_INDEPENDENT_REPLAY,ProviderA,rho_region_0p95,205.0,0.95,0.95,0.52,1.0,0.5198019801980198,0.995049504950495,1.8592365660156684,0.48
ProviderA,M1_INDEPENDENT_REPLAY,ProviderA,rho_region_0p95,210.0,0.95,0.95,0.48,1.0,0.4801980198019802,0.995049504950495,2.0692684435625623,0.52
ProviderA,M1_INDEPENDENT_REPLAY,ProviderA,rho_region_0p95,215.0,0.95,0.95,0.45,1.0,0.4504950495049505,0.995049504950495,2.230917429729339,0.55
