provider,arm,n_points,mean_bernoulli_kl,mse,rmse,mae,bias,max_abs_error
ProviderA,M1_INDEPENDENT_REPLAY,1200,0.2001328062817277,0.055136416666666674,0.23481144918139463,0.15134166666666668,-0.025791666666666668,0.74
ProviderA,TOP1_M3_LOCAL_REPLAY,1200,0.2591811289070006,0.06503225,0.2550142152900501,0.158175,-0.06269166666666667,0.8799999999999999
ProviderB,M1_INDEPENDENT_REPLAY,1200,0.14010540015818423,0.04489758333333333,0.21189049844986757,0.12482500000000002,0.01795833333333333,0.94
ProviderB,TOP1_M3_LOCAL_REPLAY,1200,0.1105141059557509,0.03530125,0.1878862687904574,0.10784166666666667,0.02449166666666668,0.85
ProviderC,M1_INDEPENDENT_REPLAY,1200,0.273175003308384,0.06079024999999999,0.24655678859037727,0.16840833333333333,0.05927500000000001,0.9
ProviderC,TOP1_M3_LOCAL_REPLAY,1200,0.08794835755952642,0.02958875,0.17201380758532148,0.12865833333333335,0.124925,0.43999999999999995
PROVIDER_MEAN,M1_INDEPENDENT_REPLAY,3600,0.20447106991609865,0.053608083333333334,0.23153419473877576,0.14819166666666667,0.017147222222222223,0.94
PROVIDER_MEAN,TOP1_M3_LOCAL_REPLAY,3600,0.1525478641407593,0.04330741666666666,0.208104340816492,0.13155833333333333,0.02890833333333333,0.8799999999999999
